assay_id,assay_name,documentation_id,assay_type,assay_type_id,organism,reagents,platform
1,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL13158
2,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL10558
3,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL6104
4,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL6883
5,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL571
6,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL570
7,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL6947
8,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL21975
9,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL7567
10,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL10647
11,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL3921
12,Blood.RNA-Microarray,1,Experimental Assay,ECO_0000097,True,mRNA,GPL6244
